Target134.2534.t0_FOR	Target134.2534.t0_REV
Target134.27360.t1_FOR	Target134.27360.t1_REV
Target134.6658.t1_FOR	Target134.6658.t1_REV
Target134.8513.t0_FOR	Target134.8513.t0_REV
Target134.9811.t1_FOR	Target134.9811.t1_REV
Target135.11798.t1_FOR	Target135.11798.t1_REV
Target135.15947.t0_FOR	Target135.15947.t0_REV
Target135.19288.t1_FOR	Target135.19288.t1_REV
Target135.23029.t0_FOR	Target135.23029.t0_REV
Target135.2401.t0_FOR	Target135.2401.t0_REV
Target135.25797.t1_FOR	Target135.25797.t1_REV
Target135.28736.t0_FOR	Target135.28736.t0_REV
Target135.32312.t1_FOR	Target135.32312.t1_REV
Target135.6281.t1_FOR	Target135.6281.t1_REV
Target135.8214.t0_FOR	Target135.8214.t0_REV
Target136.10168.t1_FOR	Target136.10168.t1_REV
Target136.13106.t0_FOR	Target136.13106.t0_REV
Target136.15283.t1_FOR	Target136.15283.t1_REV
Target136.17992.t0_FOR	Target136.17992.t0_REV
Target136.19769.t1_FOR	Target136.19769.t1_REV
Target136.2029.t0_FOR	Target136.2029.t0_REV
Target136.21359.t0_FOR	Target136.21359.t0_REV
Target136.22966.t1_FOR	Target136.22966.t1_REV
Target136.3875.t1_FOR	Target136.3875.t1_REV
Target136.6620.t0_FOR	Target136.6620.t0_REV
Target137.12216.t1_FOR	Target137.12216.t1_REV
Target137.13237.t0_FOR	Target137.13237.t0_REV
Target137.14624.t1_FOR	Target137.14624.t1_REV
Target137.15569.t0_FOR	Target137.15569.t0_REV
Target137.16912.t1_FOR	Target137.16912.t1_REV
Target137.18186.t0_FOR	Target137.18186.t0_REV
Target137.2279.t0_FOR	Target137.2279.t0_REV
Target137.4566.t1_FOR	Target137.4566.t1_REV
Target137.6006.t0_FOR	Target137.6006.t0_REV
Target137.7783.t1_FOR	Target137.7783.t1_REV
Target137.9923.t0_FOR	Target137.9923.t0_REV
Target138.11110.t1_FOR	Target138.11110.t1_REV
Target138.12342.t0_FOR	Target138.12342.t0_REV
Target138.13618.t1_FOR	Target138.13618.t1_REV
Target138.15075.t0_FOR	Target138.15075.t0_REV
Target138.16024.t1_FOR	Target138.16024.t1_REV
Target138.1657.t0_FOR	Target138.1657.t0_REV
Target138.4604.t1_FOR	Target138.4604.t1_REV
Target138.598.t1_FOR	Target138.598.t1_REV
Target138.6958.t0_FOR	Target138.6958.t0_REV
Target138.8425.t1_FOR	Target138.8425.t1_REV
Target138.9212.t0_FOR	Target138.9212.t0_REV
